"year","zone","type","ratio"
"2012","S01001823","All","0.8"
"2005","S01001823","All",0
"2010","S01001823","All",0
"2006","S01001823","All",0
"2014","S01001823","All",0
"2007","S01001823","All",0
"2011","S01001823","All",0
"2008","S01001823","All",0
"2004","S01001824","Pre 1991",0
"2005","S01001824","Pre 1991",0
"2006","S01001824","Pre 1991",0
"2007","S01001824","Pre 1991",0
"2008","S01001824","Pre 1991",0
"2009","S01001824","Pre 1991",0
"2010","S01001824","Pre 1991",0
"2011","S01001824","Pre 1991",0
"2012","S01001824","Pre 1991",0
"2013","S01001824","Pre 1991",0
"2013","S01001824","All","71.1"
"2009","S01001824","All","72.7"
"2004","S01001824","All",0
"2012","S01001824","All","72.5"
"2005","S01001824","All",0
"2010","S01001824","All","72.5"
"2006","S01001824","All",0
"2014","S01001824","All","71.1"
"2007","S01001824","All",0
"2011","S01001824","All","72.5"
"2008","S01001824","All","72.7"
"2004","S01001825","Pre 1991",0
"2005","S01001825","Pre 1991",0
"2006","S01001825","Pre 1991",0
"2007","S01001825","Pre 1991",0
"2008","S01001825","Pre 1991",0
"2009","S01001825","Pre 1991",0
"2010","S01001825","Pre 1991",0
"2011","S01001825","Pre 1991",0
"2012","S01001825","Pre 1991",0
"2013","S01001825","Pre 1991",0
"2013","S01001825","All",0
"2009","S01001825","All",0
"2004","S01001825","All",0
"2012","S01001825","All",0
"2005","S01001825","All",0
"2010","S01001825","All",0
"2006","S01001825","All",0
"2014","S01001825","All",0
"2007","S01001825","All",0
"2011","S01001825","All",0
"2008","S01001825","All",0
"2004","S01001826","Pre 1991","82.9"
"2005","S01001826","Pre 1991",0
"2006","S01001826","Pre 1991",0
"2007","S01001826","Pre 1991",0
"2008","S01001826","Pre 1991",0
"2009","S01001826","Pre 1991",0
"2010","S01001826","Pre 1991",0
"2011","S01001826","Pre 1991",0
"2012","S01001826","Pre 1991",0
"2013","S01001826","Pre 1991",0
"2013","S01001826","All",0
"2009","S01001826","All",0
"2004","S01001826","All","82.9"
"2012","S01001826","All",0
"2005","S01001826","All",0
"2010","S01001826","All",0
"2006","S01001826","All",0
"2014","S01001826","All",0
"2007","S01001826","All",0
"2011","S01001826","All",0
"2008","S01001826","All",0
"2004","S01001827","Pre 1991","66.8"
"2005","S01001827","Pre 1991",0
"2006","S01001827","Pre 1991",0
"2007","S01001827","Pre 1991",0
"2008","S01001827","Pre 1991",0
"2009","S01001827","Pre 1991",0
"2010","S01001827","Pre 1991",0
"2011","S01001827","Pre 1991",0
"2012","S01001827","Pre 1991","4.1"
"2013","S01001827","Pre 1991",0
"2013","S01001827","All",0
"2009","S01001827","All",0
"2004","S01001827","All","66.8"
"2005","S01001827","All",0
"2012","S01001827","All","4.1"
"2010","S01001827","All",0
"2006","S01001827","All",0
"2014","S01001827","All",0
"2007","S01001827","All",0
"2011","S01001827","All",0
"2008","S01001827","All",0
"2004","S01001828","Pre 1991",0
"2005","S01001828","Pre 1991",0
"2006","S01001828","Pre 1991",0
"2007","S01001828","Pre 1991",0
"2008","S01001828","Pre 1991",0
"2009","S01001828","Pre 1991",0
"2010","S01001828","Pre 1991",0
"2011","S01001828","Pre 1991",0
"2012","S01001828","Pre 1991","2.5"
"2013","S01001828","Pre 1991",0
"2013","S01001828","All",0
"2009","S01001828","All",0
"2004","S01001828","All",0
"2012","S01001828","All","2.5"
"2005","S01001828","All",0
"2010","S01001828","All",0
"2006","S01001828","All",0
"2014","S01001828","All",0
"2007","S01001828","All",0
"2011","S01001828","All",0
"2008","S01001828","All",0
"2004","S01001829","Pre 1991",0
"2005","S01001829","Pre 1991",0
"2006","S01001829","Pre 1991",0
"2007","S01001829","Pre 1991",0
"2008","S01001829","Pre 1991",0
"2009","S01001829","Pre 1991",0
"2010","S01001829","Pre 1991",0
"2011","S01001829","Pre 1991",0
"2012","S01001829","Pre 1991",0
"2013","S01001829","Pre 1991",0
"2013","S01001829","All",0
"2009","S01001829","All","67.8"
"2004","S01001829","All",0
"2012","S01001829","All",0
"2005","S01001829","All",0
"2010","S01001829","All","68.9"
"2006","S01001829","All",0
"2014","S01001829","All",0
"2007","S01001829","All",0
"2011","S01001829","All","68.9"
"2008","S01001829","All",0
"2004","S01001830","Pre 1991",0
"2005","S01001830","Pre 1991",0
"2006","S01001830","Pre 1991",0
"2007","S01001830","Pre 1991",0
"2008","S01001830","Pre 1991",0
"2009","S01001830","Pre 1991",0
"2010","S01001830","Pre 1991",0
"2011","S01001830","Pre 1991",0
"2012","S01001830","Pre 1991","2.4"
"2013","S01001830","Pre 1991",0
"2013","S01001830","All",0
"2009","S01001830","All",0
"2004","S01001830","All",0
"2012","S01001830","All","2.4"
"2005","S01001830","All",0
"2010","S01001830","All",0
"2006","S01001830","All",0
"2014","S01001830","All",0
"2007","S01001830","All",0
"2011","S01001830","All",0
"2008","S01001830","All",0
"2004","S01001831","Pre 1991",0
"2005","S01001831","Pre 1991",0
"2006","S01001831","Pre 1991",0
"2007","S01001831","Pre 1991",0
"2008","S01001831","Pre 1991",0
"2009","S01001831","Pre 1991",0
"2010","S01001831","Pre 1991",0
"2011","S01001831","Pre 1991",0
"2012","S01001831","Pre 1991",0
"2013","S01001831","Pre 1991",0
"2013","S01001831","All","64.1"
"2009","S01001831","All","65.5"
"2004","S01001831","All",0
"2012","S01001831","All","65.5"
"2005","S01001831","All",0
"2010","S01001831","All","65.5"
"2006","S01001831","All",0
"2014","S01001831","All","64.1"
"2007","S01001831","All",0
"2011","S01001831","All","65.5"
